# Wavelength 	i 	a_i 	b_i 	c_i
5048 	1 	3.867902 	0.451594 	-2.209071
5048 	2 	0.005663 	-2.715737 	-0.232676
5048 	3 	-0.124564 	2.431123 	0.149969
5048 	4 	-0.020914 	2.037531 	0.386945
5048 	5 	0.006407 	-2.191700 	0.008098
5048 	6 	-0.004000 	2.140291 	0.555353
5048 	7 	0.001913 	-2.719687 	-0.279718
5048 	8 	-0.002026 	0.764487 	-0.136685
5048 	9 	0.000031 	-1.340548 	0.068556
5876 	1 	0.765684 	2.031295 	-0.800207
5876 	2 	-0.120951 	0.665641 	-0.115064
5876 	3 	0.002838 	-2.899645 	-0.128681
5876 	4 	-0.020210 	1.163158 	-0.280858
5876 	5 	-0.011974 	0.567921 	-0.702161
5876 	6 	0.000941 	-1.814439 	0.143205
5876 	7 	-0.000084 	8.290851 	4.956775
5876 	8 	0.001916 	-1.626788 	0.081847
5876 	9 	0.000330 	-0.574927 	0.049323
6678 	1 	-0.142778 	0.002216 	-0.345017
6678 	2 	0.194029 	2.957312 	1.012852
6678 	3 	-0.161264 	0.049074 	-0.242204
6678 	4 	-0.111315 	0.027608 	-0.434800
6678 	5 	-0.071360 	0.104060 	-0.491709
6678 	6 	-0.028272 	-0.212975 	-0.564984
6678 	7 	-0.001836 	7.009674 	0.788004
6678 	8 	-0.000203 	-4.712255 	0.361104
6678 	9 	-0.000004 	-1.776468 	-0.004734
7065 	1 	7.407207 	0.039764 	-1.194215
7065 	2 	-0.832559 	-0.209824 	-0.057477
7065 	3 	0.014316 	-3.462613 	0.299767
7065 	4 	-0.098030 	-0.380680 	-0.821184
7065 	5 	-0.027901 	-0.193571 	-0.691501
7065 	6 	-0.000820 	6.151002 	2.800949
7065 	7 	0.010872 	-2.082732 	0.174198
7065 	8 	0.004095 	-2.451380 	0.145223
7065 	9 	0.003886 	-1.095082 	0.105919
7281 	1 	4.009749 	0.349820 	-1.559434
7281 	2 	-0.169962 	2.247969 	0.103872
7281 	3 	-0.207715 	-1.420517 	-1.142405
7281 	4 	0.002292 	-2.893220 	0.460167
7281 	5 	-0.047401 	-0.341306 	-0.537341
7281 	6 	-0.078960 	-1.463006 	-1.127866
7281 	7 	-0.012757 	2.051007 	-0.007594
7281 	8 	0.011432 	-1.438304 	0.173748
7281 	9 	0.000589 	-0.996816 	0.128812
9464 	1 	0.065617 	1.801141 	1.222155
9464 	2 	-0.211779 	-0.373572 	-0.349116
9464 	3 	0.025911 	2.079864 	0.079155
9464 	4 	-0.002505 	-1.090156 	0.819827
9464 	5 	-0.019108 	-0.117144 	-0.799836
9464 	6 	-0.005019 	0.120752 	-0.712156
9464 	7 	-0.000013 	9.761829 	0.920806
9464 	8 	-0.002696 	-0.979003 	-0.735566
9464 	9 	0.000375 	-2.324543 	-0.000464
10830 	1 	39.752766 	-0.298983 	-1.655744
10830 	2 	0.160380 	-2.503047 	0.999384
10830 	3 	-0.343303 	-2.567812 	0.383924
10830 	4 	-0.179840 	-4.593626 	-0.093260
10830 	5 	0.376525 	-2.098506 	-0.275385
10830 	6 	0.229901 	-1.132494 	0.071783
10830 	7 	0.120023 	-1.277745 	0.063845
10830 	8 	0.085351 	-2.359180 	-0.635813
10830 	9 	0.013747 	-0.348160 	0.010280
11969 	1 	0.169269 	2.142598 	-0.481203
11969 	2 	0.010005 	-2.379077 	-0.229726
11969 	3 	-0.051812 	0.593835 	-0.113468
11969 	4 	-0.014826 	0.334608 	-0.308218
11969 	5 	0.001950 	-1.694416 	-0.008706
11969 	6 	-0.000103 	7.060107 	3.687421
11969 	7 	0.001868 	-2.097287 	-0.190160
11969 	8 	0.000478 	-2.327992 	-0.222428
11969 	9 	-0.000017 	5.173059 	0.222140
12527 	1 	0.682182 	0.898860 	-1.200630
12527 	2 	0.018834 	-2.134930 	-0.211498
12527 	3 	-0.085191 	0.177796 	-0.377210
12527 	4 	-0.046766 	-0.434677 	-0.889978
12527 	5 	-0.027952 	-0.977738 	-1.300571
12527 	6 	-0.000271 	6.298621 	2.435816
12527 	7 	0.003779 	-2.256166 	-0.401394
12527 	8 	0.001858 	-2.210664 	-0.382732
12527 	9 	0.001313 	-1.753759 	-0.049094
12785 	1 	-0.017363 	0.732726 	0.414940
12785 	2 	0.051895 	3.220740 	0.976371
12785 	3 	-0.047197 	0.036961 	-0.018628
12785 	4 	-0.016052 	-0.065403 	-0.125076
12785 	5 	-0.008674 	-0.448546 	-0.227839
12785 	6 	-0.004627 	-0.189011 	-0.147199
12785 	7 	-0.000752 	0.008037 	-0.125717
12785 	8 	-0.000015 	6.817896 	0.285434
12785 	9 	-0.000001 	5.052590 	-0.254754
12790 	1 	0.034784 	4.153957 	1.861917
12790 	2 	-0.034996 	0.291587 	0.200122
12790 	3 	-0.024853 	0.472719 	0.306223
12790 	4 	-0.029037 	-0.016732 	-0.028320
12790 	5 	-0.016854 	0.008265 	-0.080113
12790 	6 	-0.012192 	0.006807 	-0.139773
12790 	7 	-0.007873 	-0.413797 	-0.273093
12790 	8 	-0.005301 	0.032505 	-0.204200
12790 	9 	-0.001220 	9.140628 	-2.456817
12968 	1 	0.469864 	1.857833 	-1.238283
12968 	2 	0.014293 	-2.206397 	-0.234544
12968 	3 	-0.063890 	0.715108 	-0.133062
12968 	4 	-0.007740 	4.548513 	0.702111
12968 	5 	0.003757 	-1.363295 	0.021378
12968 	6 	-0.000520 	0.354133 	-0.411930
12968 	7 	-0.000007 	0.867989 	-0.382254
12968 	8 	0.000000 	-0.312655 	-1.229920
12968 	9 	0.000000 	-1.321470 	0.001483
15084 	1 	0.370078 	1.313424 	-0.211504
15084 	2 	0.121869 	-2.898463 	-0.760698
15084 	3 	-0.175005 	-0.277672 	-0.356154
15084 	4 	-0.231416 	-0.688087 	-0.921995
15084 	5 	-0.035201 	0.001357 	-0.092017
15084 	6 	-0.001294 	-3.457917 	0.600536
15084 	7 	-0.000318 	6.265059 	1.835816
15084 	8 	-0.000655 	0.001848 	-0.253604
15084 	9 	-0.000015 	4.188363 	-0.168791
17002 	1 	2.084653 	0.874461 	-2.772676
17002 	2 	0.000431 	-2.798307 	-0.252522
17002 	3 	-0.038638 	2.593246 	0.193422
17002 	4 	0.001978 	-2.132807 	0.291096
17002 	5 	-0.006182 	3.386596 	0.229511
17002 	6 	0.000117 	1.312846 	-0.134606
17002 	7 	-0.000664 	0.329870 	0.245240
17002 	8 	-0.000057 	-2.384770 	-0.048070
17002 	9 	-0.000003 	-1.271340 	0.074656
18685 	1 	-0.664639 	0.446721 	-0.336584
