Bac   3646,Bac   3646.00
Ne 3  1815,Ne 3  1814.56
Ne 4  1602,Ne 4  1601.61
Ne 4  2424,Ne 4  2424
Ne 4  4720,Ne 4  4720
Ne 5  3426,Ne 5  3426.03
Ne 5  3346,Ne 5  3345.99
Ne 5  2976,Ne 5  2973.20
Ne 5 24.31m,Ne 5 24.2065m
Ne 5 14.32m,Ne 5 14.3228m
TOTL  2798,BLND  2798.00
Si 2 34.81m,Si 2 34.8046m
Si 2  2334,Si 2  2334.41
Si 3  1892,Si 3  1892.03
Si 4  1394,Si 4  1393.75
S II  4070,S  2  4068.60
S II  4078,S  2  4076.35
S II  6731,S  2  6730.82
S II  6716,S  2  6716.44
S II 1.029m,S  2 1.02867m
S II 1.034m,S  2 1.03364m
S II 1.032m,S  2 1.03205m
S II 1.037m,S  2 1.03705m
S  3  6312,S  3  6312.06
S  3  9532,S  3  9530.62
S  3  9069,S  3  9068.62
S  3 18.67m,S  3 18.7078m
S  3 33.47m,S  3 33.4704m
S  4 10.51m,S  4 10.5076m
S  4  1398,S  4  1398.04
Cl 2  8579,Cl 2  8578.70
Cl 2  9124,Cl 2  9123.60
Cl 2  6162,Cl 2  6161.84
Cl 3  8552,Cl 3  8547.96
TOTL  8494,BLND  8494.00
Cl 3  5538,Cl 3  5537.87
Cl 3  5518,Cl 3  5517.71
Cl 4  7532,Cl 4  7530.54
Cl 4  20.4m,Cl 4  20.3197m
Cl 4  11.7m,Cl 4  11.7629m
Ar 2  6.98m,Ar 2  6.98337m
Ar 3  7135,Ar 3  7135.79
Ar 3  7751,Ar 3  7751.11
Ar 3  5192,Ar 3  5191.82
Ar 3   9m,Ar 3  8.98898m
Ar 3 21.83m,Ar 3 21.8253m
Ar 4  7171,Ar 4  7170.70
Ar 4  4711,Ar 4  4711.26
Ar 4  4740,Ar 4  4740.12
Ar 5  7005,Ar 5  7005.83
Ar 5  13.1m,Ar 5  13.0985m
Ar 5   8m,Ar 5  7.89971m
Fe 2  8617,Fe 2  8616.95
Fe 3  4608,Fe 3  4607.11
Fe 3  4668,Fe 3  4666.94
Fe 3  4659,Fe 3  4658.01
Fe 3  4702,Fe 3  4701.62
Fe 3  4734,Fe 3  4733.84
Fe 3  4881,Fe 3  4881.12
Fe 3  5271,Fe 3  5270.40
